ts_ns,symbol,kind,price,score
1547424000000000000,BTC-USD,robust_z,3706.052246,3.2889
1549584000000000000,BTC-USD,cusum,3666.780273,4.4061
1549584000000000000,BTC-USD,robust_z,3666.780273,4.7061
1550534400000000000,BTC-USD,cusum,3947.094482,4.5759
1550534400000000000,BTC-USD,robust_z,3947.094482,4.2417
1550966400000000000,BTC-USD,robust_z,3810.427490,-4.0244
1554163200000000000,BTC-USD,cusum,4879.877930,8.0335
1554163200000000000,BTC-USD,robust_z,4879.877930,7.5490
1554940800000000000,BTC-USD,robust_z,5064.487793,-2.6795
1556150400000000000,BTC-USD,robust_z,5210.515625,-2.5244
1557532800000000000,BTC-USD,cusum,7204.771484,7.0285
1557532800000000000,BTC-USD,robust_z,7204.771484,4.2668
1557705600000000000,BTC-USD,robust_z,7814.915039,3.0727
1558224000000000000,BTC-USD,robust_z,8197.689453,2.6729
1561507200000000000,BTC-USD,cusum,13016.231445,5.3851
1561593600000000000,BTC-USD,robust_z,11182.806641,-3.7491
1561939200000000000,BTC-USD,cusum,10583.134766,-4.1190
1569283200000000000,BTC-USD,cusum,8620.566406,-5.1098
1569283200000000000,BTC-USD,robust_z,8620.566406,-4.1883
1571788800000000000,BTC-USD,robust_z,7514.671875,-2.8308
1571961600000000000,BTC-USD,cusum,8660.700195,4.4865
1571961600000000000,BTC-USD,robust_z,8660.700195,4.7865
1574380800000000000,BTC-USD,cusum,7296.577637,-4.1557
1576627200000000000,BTC-USD,robust_z,7276.802734,3.5179
1578355200000000000,BTC-USD,cusum,8163.692383,4.9916
1578960000000000000,BTC-USD,robust_z,8827.764648,2.6551
1582675200000000000,BTC-USD,cusum,8820.522461,-4.2066
1583625600000000000,BTC-USD,robust_z,8108.116211,-3.3425
1583712000000000000,BTC-USD,cusum,7923.644531,-4.0813
1583971200000000000,BTC-USD,cusum,4970.788086,-8.3488
1583971200000000000,BTC-USD,robust_z,4970.788086,-8.6488
1584576000000000000,BTC-USD,robust_z,6191.192871,2.7286
1585008000000000000,BTC-USD,cusum,6734.803711,4.2867
1588118400000000000,BTC-USD,robust_z,8801.038086,2.9714
1589068800000000000,BTC-USD,robust_z,8756.430664,-2.5708
1595808000000000000,BTC-USD,cusum,10990.873047,8.2337
1595808000000000000,BTC-USD,robust_z,10990.873047,5.1596
1596326400000000000,BTC-USD,robust_z,11053.614258,-3.1266
1599091200000000000,BTC-USD,cusum,10245.296875,-5.6418
1599091200000000000,BTC-USD,robust_z,10245.296875,-3.9279
1603238400000000000,BTC-USD,cusum,12823.689453,4.7495
1603238400000000000,BTC-USD,robust_z,12823.689453,3.4735
1604534400000000000,BTC-USD,cusum,15579.848633,4.5096
1604534400000000000,BTC-USD,robust_z,15579.848633,3.8671
1606348800000000000,BTC-USD,robust_z,17150.623047,-3.0844
1608076800000000000,BTC-USD,robust_z,21310.597656,2.7010
1608163200000000000,BTC-USD,cusum,22805.162109,4.2964
1609891200000000000,BTC-USD,cusum,36824.363281,4.1924
1610323200000000000,BTC-USD,cusum,35566.656250,-4.1881
1611187200000000000,BTC-USD,cusum,30825.699219,-4.4081
1611187200000000000,BTC-USD,robust_z,30825.699219,-2.8514
1612742400000000000,BTC-USD,robust_z,46196.464844,3.0792
1614470400000000000,BTC-USD,cusum,45137.769531,-4.0609
1619049600000000000,BTC-USD,cusum,51762.273438,-4.3889
1619395200000000000,BTC-USD,robust_z,54021.753906,2.8701
1620777600000000000,BTC-USD,robust_z,49150.535156,-3.3065
1621382400000000000,BTC-USD,cusum,37002.441406,-6.2027
1621382400000000000,BTC-USD,robust_z,37002.441406,-2.9321
1627257600000000000,BTC-USD,cusum,37337.535156,4.4161
1630972800000000000,BTC-USD,robust_z,46811.128906,-2.9703
1632096000000000000,BTC-USD,robust_z,42843.800781,-2.7636
1633478400000000000,BTC-USD,cusum,55361.449219,4.8127
1642723200000000000,BTC-USD,cusum,36457.316406,-4.0117
1642723200000000000,BTC-USD,robust_z,36457.316406,-3.4354
1643932800000000000,BTC-USD,cusum,41500.875000,4.4050
1643932800000000000,BTC-USD,robust_z,41500.875000,3.4794
1645056000000000000,BTC-USD,robust_z,40538.011719,-2.6723
1646006400000000000,BTC-USD,robust_z,43193.234375,3.8773
1651708800000000000,BTC-USD,robust_z,36575.140625,-2.5463
1652054400000000000,BTC-USD,cusum,30296.953125,-5.8786
1652054400000000000,BTC-USD,robust_z,30296.953125,-3.0450
1655078400000000000,BTC-USD,cusum,22487.388672,-5.6580
1655078400000000000,BTC-USD,robust_z,22487.388672,-3.6908
1660867200000000000,BTC-USD,cusum,20877.552734,-4.2131
1660867200000000000,BTC-USD,robust_z,20877.552734,-3.5760
1662681600000000000,BTC-USD,robust_z,21381.152344,3.3772
1662768000000000000,BTC-USD,cusum,21680.539062,4.0268
1663027200000000000,BTC-USD,robust_z,20296.707031,-2.9229
1667865600000000000,BTC-USD,cusum,18541.271484,-5.3333
1667865600000000000,BTC-USD,robust_z,18541.271484,-4.2655
1667952000000000000,BTC-USD,cusum,15880.780273,-4.2407
1667952000000000000,BTC-USD,robust_z,15880.780273,-4.5407
1668038400000000000,BTC-USD,robust_z,17586.771484,2.9380
1673481600000000000,BTC-USD,cusum,18869.587891,6.0077
1673481600000000000,BTC-USD,robust_z,18869.587891,3.0480
1673568000000000000,BTC-USD,robust_z,19909.574219,2.6916
1673654400000000000,BTC-USD,cusum,20976.298828,4.3322
1674172800000000000,BTC-USD,robust_z,22676.552734,2.8130
1676419200000000000,BTC-USD,robust_z,24307.841797,3.4910
1678320000000000000,BTC-USD,cusum,20363.021484,-4.1197
1678320000000000000,BTC-USD,robust_z,20363.021484,-2.6208
1678579200000000000,BTC-USD,robust_z,22163.949219,2.7942
1678665600000000000,BTC-USD,cusum,24197.533203,5.8658
1678665600000000000,BTC-USD,robust_z,24197.533203,2.8197
