event,method,day,rolling_ll,z
COVID,gaussian,0,28.69546280706913,1.3237865870293752
COVID,gaussian,1,73.43635942798986,6.254139162280593
COVID,gaussian,2,37.87306042302253,2.3351385146364105
COVID,gaussian,3,29.696360954847687,1.4340834548430768
COVID,gaussian,4,35.91215990138847,2.1190514071614737
COVID,gaussian,5,58.4169539691145,4.599032314281434
COVID,gaussian,6,25.45360106096296,0.9665402505523115
COVID,gaussian,7,61.52161472445439,4.941159390546012
COVID,gaussian,8,96.22763350804962,8.765689563381304
COVID,gaussian,9,112.87155010666976,10.599814117467735
COVID,gaussian,10,107.29098317466841,9.984847395238724
COVID,gaussian,11,126.11001707426774,12.058665294704864
COVID,gaussian,12,148.7759103565666,14.556398995966832
COVID,gaussian,13,143.22788866159277,13.945018690312132
COVID,gaussian,14,117.77558629846118,11.140228577021013
COVID,gaussian,15,123.44734403763812,11.765244334136534
COVID,t,0,52.50516062992459,3.774591583374151
COVID,t,1,105.13107380460968,9.390578118157363
COVID,t,2,96.92946550805756,8.515341585840819
COVID,t,3,84.02150836965644,7.137865944891938
COVID,t,4,75.35050477819516,6.212537784769329
COVID,t,5,96.95763939092122,8.518348168287561
COVID,t,6,65.21725412909862,5.131165590618326
COVID,t,7,80.15282340744972,6.725018331531709
COVID,t,8,121.62438650822497,11.150665810127881
COVID,t,9,135.35485987115635,12.61591646081901
COVID,t,10,175.2592954949348,16.8743275671001
COVID,t,11,213.61082202314606,20.96701961893934
COVID,t,12,231.20524646120242,22.844612705132402
COVID,t,13,231.95514255065493,22.92463804031039
COVID,t,14,219.38637887446458,21.58335950838153
COVID,t,15,214.34305369359416,21.045159891544746
COVID,mps_chi2,0,-59.972447723478304,1.0473388275447715
COVID,mps_chi2,1,-44.397773787461816,1.8756715661731638
COVID,mps_chi2,2,-55.59548479218279,1.2801258320528275
COVID,mps_chi2,3,-59.412478950141335,1.0771205404377755
COVID,mps_chi2,4,-53.9105767203202,1.369736986882563
COVID,mps_chi2,5,-36.9010801545246,2.274380187177988
